Student ID,First Name,Last Name,Katz School Major,GPA,Graduation Semester,Country of Origin,Languages,Undergraduate Major,Age at Graduation,Years of Experience,Location,Job Decription,Course1,Course2,Course3,Course4,Course5,Course6,Course7,Course8,Course9,Course10,Course11,Course12
8814346448,Morris,Hector,Data Analytics and Visualization,3.74,Fall-2022,China,Mandarin,Computer Science,25,4.0,"New York, NY",Database Administrator - Entry,Fall-2021: AI Product Studio,Fall-2021: DAV 6400 Internship,Fall-2021: DAV 5200 Visual Design and Storytelling,Spring-2022: Natural Language Processing,Spring-2022: DAV 5100 Structured Data Management,Spring-2022: MAN 5580 Project Management,Summer-2022: Special Topics,Summer-2022: DAV 5300 Computational Math and Statistics,Summer-2022: DAV 5000 Business Modeling and Data Analysis,Fall-2022: DAV 6500 Capstone,Fall-2022: DAV 6050 Data-Driven Organizations,Fall-2022: DAV 5400 Analytics Programming
2002196346,Russell,Thomas,Data Analytics and Visualization,3.63,Spring-2018,USA,English,Computer Science,29,7.0,"New York, NY",Entry Data Analyst,Spring-2017: DAV 5400 Analytics Programming,Spring-2017: DAV 5300 Computational Math and Statistics,Spring-2017: DAV 6400 Internship,Summer-2017: Advanced Data Engineering,Summer-2017: Special Topics,Summer-2017: DAV 6100 Information Architectures,Fall-2017: MAN 5580 Project Management,Fall-2017: DAV 6500 Capstone,Fall-2017: DAV 5000 Business Modeling and Data Analysis,Spring-2018: DAV 5200 Visual Design and Storytelling,Spring-2018: Data Visualization,Spring-2018: DAV 5100 Structured Data Management
7312862338,Nugent,Gabriel,Artificial Intelligence,4.0,Spring-2020,China,Mandarin,Mathematics,24,3.0,"New York, NY",Entry Data Analyst,Spring-2019: Artificial Intelligence,Spring-2019: Data Acquisition and Management,Spring-2019: Numerical Methods,Summer-2019: Neural Networks and Deep Learning,Summer-2019: Complex Systems: Financial Time Series Analysis,Summer-2019: DAV 6000 Talent Analytics,Fall-2019: DAV 6450 Independent Study,Fall-2019: Machine Learning,Fall-2019: Computational Statistics and Probability,Spring-2020: AI Capstone: R&D Experience,Spring-2020: DAV 6400 Internship,Spring-2020: Predictive Models
9275489424,Ceja,Edith,Data Analytics and Visualization,3.5,Summer-2019,India,Hindi,Computer Science,27,6.5,"Woodbridge, NJ",Data Scientist I,Summer-2018: DAV 6500 Capstone,Summer-2018: DAV 6400 Internship,Summer-2018: Data Visualization,Fall-2018: MAN 5580 Project Management,Fall-2018: Internship,Fall-2018: Special Topics,Spring-2019: DAV 5100 Structured Data Management,Spring-2019: DAV 5300 Computational Math and Statistics,Spring-2019: Bayesian Methods,Summer-2019: DAV 5400 Analytics Programming,Summer-2019: DAV 5200 Visual Design and Storytelling,Summer-2019: DAV 5000 Business Modeling and Data Analysis
4380390840,Yard,Vivian,Data Analytics and Visualization,3.43,Fall-2017,Pakistan,Punjabi,Other,23,2.5,"New York, NY",Machine Learning Engineer,Fall-2016: DAV 6200 Data Product Design,Fall-2016: DAV 6450 Independent Study,Fall-2016: DAV 5400 Analytics Programming,Spring-2017: DAV 5000 Business Modeling and Data Analysis,Spring-2017: DAV 5100 Structured Data Management,Spring-2017: DAV 5200 Visual Design and Storytelling,Summer-2017: MAN 5580 Project Management,Summer-2017: DAV 5300 Computational Math and Statistics,Summer-2017: AI Product Studio,Fall-2017: Special Topics,Fall-2017: Complex Systems: Financial Time Series Analysis,Fall-2017: DAV 6500 Capstone
4026833736,Gray,Anthony,Artificial Intelligence,4.0,Spring-2022,India,Gujarati,Computer Science,31,9.0,"Woodbridge, NJ",UX Design Intern,Spring-2021: Computational Statistics and Probability,Spring-2021: Neural Networks and Deep Learning,Spring-2021: DAV 6050 Data-Driven Organizations,Summer-2021: DAV 6450 Independent Study,Summer-2021: Data Acquisition and Management,Summer-2021: DAV 6000 Talent Analytics,Fall-2021: Numerical Methods,Fall-2021: AI Capstone: R&D Experience,Fall-2021: Machine Learning,Spring-2022: Predictive Models,Spring-2022: Artificial Intelligence,Spring-2022: Natural Language Processing
3174646423,Goldstein,Betty,Artificial Intelligence,3.68,Summer-2021,China,Mandarin,Mathematics,24,2.0,"New York, NY",Entry Level Python Developer,Summer-2020: Data Acquisition and Management,Summer-2020: Computational Statistics and Probability,Summer-2020: Data Visualization,Fall-2020: Machine Learning,Fall-2020: Artificial Intelligence,Fall-2020: DAV 6200 Data Product Design,Spring-2021: Neural Networks and Deep Learning,Spring-2021: DAV 6050 Data-Driven Organizations,Spring-2021: Predictive Models,Summer-2021: Numerical Methods,Summer-2021: AI Capstone: R&D Experience,Summer-2021: Advanced Data Engineering
2166512640,Bass,Annette,Artificial Intelligence,3.61,Summer-2021,India,Gujarati,Computer Science,24,2.5,"Chicago, IL",Big Data Architect,Summer-2020: Neural Networks and Deep Learning,Summer-2020: Independent Study,Summer-2020: Predictive Models,Fall-2020: Complex Systems: Financial Time Series Analysis,Fall-2020: Data Acquisition and Management,Fall-2020: Numerical Methods,Spring-2021: Machine Learning,Spring-2021: Computational Statistics and Probability,Spring-2021: AI Product Studio,Summer-2021: Artificial Intelligence,Summer-2021: DAV 6400 Internship,Summer-2021: AI Capstone: R&D Experience
7016949215,Reist,Kenneth,Data Analytics and Visualization,3.35,Spring-2017,Pakistan,Punjabi,Engineering,31,10.0,"San Francisco, CA",UX Design Intern,Spring-2016: Special Topics,Spring-2016: DAV 5200 Visual Design and Storytelling,Spring-2016: DAV 5300 Computational Math and Statistics,Summer-2016: Bayesian Methods,Summer-2016: DAV 6300 Special Topics,Summer-2016: DAV 6500 Capstone,Fall-2016: DAV 5400 Analytics Programming,Fall-2016: DAV 6450 Independent Study,Fall-2016: DAV 5100 Structured Data Management,Spring-2017: DAV 6150 Data Science,Spring-2017: DAV 5000 Business Modeling and Data Analysis,Spring-2017: MAN 5580 Project Management
9528323973,Clark,Susan,Data Analytics and Visualization,3.19,Fall-2020,USA,English,Mathematics,24,2.5,"New York, NY",Entry Business Systems Analyst,Fall-2019: DAV 5300 Computational Math and Statistics,Fall-2019: DAV 5100 Structured Data Management,Fall-2019: DAV 6000 Talent Analytics,Spring-2020: AI Product Studio,Spring-2020: DAV 5000 Business Modeling and Data Analysis,Spring-2020: DAV 6100 Information Architectures,Summer-2020: DAV 5400 Analytics Programming,Summer-2020: Special Topics,Summer-2020: MAN 5580 Project Management,Fall-2020: DAV 6200 Data Product Design,Fall-2020: DAV 6500 Capstone,Fall-2020: DAV 5200 Visual Design and Storytelling
1688153655,Caponera,Olga,Artificial Intelligence,3.36,Fall-2019,USA,Spanish,Computer Science,23,1.0,"New York, NY",Entry Business Systems Analyst,Fall-2018: Neural Networks and Deep Learning,Fall-2018: DAV 6050 Data-Driven Organizations,Fall-2018: Artificial Intelligence,Spring-2019: Predictive Models,Spring-2019: DAV 6300 Special Topics,Spring-2019: AI Product Studio,Summer-2019: AI Capstone: R&D Experience,Summer-2019: Machine Learning,Summer-2019: DAV 6100 Information Architectures,Fall-2019: Computational Statistics and Probability,Fall-2019: Numerical Methods,Fall-2019: Data Acquisition and Management
4696302012,Sticker,Valerie,Data Analytics and Visualization,3.4,Fall-2021,Pakistan,Pashto,Computer Science,25,4.5,"New York, NY",UX Design Intern,Fall-2020: DAV 5300 Computational Math and Statistics,Fall-2020: DAV 6300 Special Topics,Fall-2020: Advanced Data Engineering,Spring-2021: DAV 5100 Structured Data Management,Spring-2021: DAV 5200 Visual Design and Storytelling,Spring-2021: DAV 5000 Business Modeling and Data Analysis,Summer-2021: DAV 6500 Capstone,Summer-2021: Bayesian Methods,Summer-2021: MAN 5580 Project Management,Fall-2021: DAV 5400 Analytics Programming,Fall-2021: Data Visualization,Fall-2021: Independent Study
4137676532,Lora,Thelma,Artificial Intelligence,3.04,Summer-2019,USA,Spanish,Computer Science,25,4.5,"New York, NY",Business Intelligence (BI) Developer,Summer-2018: Predictive Models,Summer-2018: Data Acquisition and Management,Summer-2018: Internship,Fall-2018: AI Capstone: R&D Experience,Fall-2018: Artificial Intelligence,Fall-2018: Neural Networks and Deep Learning,Spring-2019: Numerical Methods,Spring-2019: Natural Language Processing,Spring-2019: Computational Statistics and Probability,Summer-2019: DAV 6050 Data-Driven Organizations,Summer-2019: Machine Learning,Summer-2019: DAV 6400 Internship
9514660373,Byrne,Linda,Artificial Intelligence,3.7,Spring-2019,China,Mandarin,Computer Science,26,4.5,"New York, NY",UX Design Intern,Spring-2018: AI Product Studio,Spring-2018: Computational Statistics and Probability,Spring-2018: Data Acquisition and Management,Summer-2018: Artificial Intelligence,Summer-2018: Machine Learning,Summer-2018: Predictive Models,Fall-2018: AI Capstone: R&D Experience,Fall-2018: AI Product Studio,Fall-2018: DAV 6050 Data-Driven Organizations,Spring-2019: Data Visualization,Spring-2019: Numerical Methods,Spring-2019: Neural Networks and Deep Learning
9174043575,Armstrong,Barbara,Data Analytics and Visualization,3.7,Summer-2021,India,Hindi,Mathematics,34,13.5,"New York, NY",Data Scientist I,Summer-2020: DAV 5200 Visual Design and Storytelling,Summer-2020: AI Product Studio,Summer-2020: Data Visualization,Fall-2020: DAV 5100 Structured Data Management,Fall-2020: MAN 5580 Project Management,Fall-2020: Special Topics,Spring-2021: DAV 6450 Independent Study,Spring-2021: DAV 6500 Capstone,Spring-2021: DAV 6050 Data-Driven Organizations,Summer-2021: DAV 5300 Computational Math and Statistics,Summer-2021: DAV 5400 Analytics Programming,Summer-2021: DAV 5000 Business Modeling and Data Analysis
4485381875,Hadsall,Jessica,Artificial Intelligence,3.48,Fall-2019,India,Hindi,Mathematics,25,3.5,"New York, NY",Entry Level Python Developer,Fall-2018: DAV 6400 Internship,Fall-2018: AI Capstone: R&D Experience,Fall-2018: Machine Learning,Spring-2019: Computational Statistics and Probability,Spring-2019: Numerical Methods,Spring-2019: Special Topics,Summer-2019: Neural Networks and Deep Learning,Summer-2019: Bayesian Methods,Summer-2019: DAV 6450 Independent Study,Fall-2019: Predictive Models,Fall-2019: Data Acquisition and Management,Fall-2019: Artificial Intelligence
6226085315,Perkins,Genevieve,Artificial Intelligence,4.0,Fall-2017,USA,English,Computer Science,27,6.5,"New York, NY",Entry Level Python Developer,Fall-2016: DAV 6050 Data-Driven Organizations,Fall-2016: Predictive Models,Fall-2016: Artificial Intelligence,Spring-2017: Machine Learning,Spring-2017: Computational Statistics and Probability,Spring-2017: DAV 6300 Special Topics,Summer-2017: DAV 6150 Data Science,Summer-2017: AI Capstone: R&D Experience,Summer-2017: Data Acquisition and Management,Fall-2017: Complex Systems: Financial Time Series Analysis,Fall-2017: Numerical Methods,Fall-2017: Neural Networks and Deep Learning
2929130206,Dennis,Paula,Data Analytics and Visualization,4.0,Spring-2020,Other,H,Mathematics,25,4.5,"Chicago, IL",Big Data Architect,Spring-2019: MAN 5580 Project Management,Spring-2019: DAV 6500 Capstone,Spring-2019: DAV 5100 Structured Data Management,Summer-2019: Advanced Data Engineering,Summer-2019: DAV 5300 Computational Math and Statistics,Summer-2019: DAV 6000 Talent Analytics,Fall-2019: DAV 5200 Visual Design and Storytelling,Fall-2019: DAV 5000 Business Modeling and Data Analysis,Fall-2019: DAV 6400 Internship,Spring-2020: DAV 5400 Analytics Programming,Spring-2020: DAV 6450 Independent Study,Spring-2020: DAV 6100 Information Architectures
8491842345,Coombs,Michael,Data Analytics and Visualization,4.0,Summer-2020,China,Mandarin,Mathematics,24,3.0,"Woodbridge, NJ",Database Administrator - Entry,Summer-2019: DAV 6500 Capstone,Summer-2019: Natural Language Processing,Summer-2019: Special Topics,Fall-2019: Internship,Fall-2019: DAV 5400 Analytics Programming,Fall-2019: DAV 5300 Computational Math and Statistics,Spring-2020: MAN 5580 Project Management,Spring-2020: DAV 5200 Visual Design and Storytelling,Spring-2020: DAV 6050 Data-Driven Organizations,Summer-2020: DAV 5000 Business Modeling and Data Analysis,Summer-2020: DAV 6000 Talent Analytics,Summer-2020: DAV 5100 Structured Data Management
8073309609,Friend,Isabelle,Data Analytics and Visualization,3.44,Summer-2017,China,Mandarin,Engineering,23,1.5,"New York, NY",Data Architect I,Summer-2016: AI Product Studio,Summer-2016: Internship,Summer-2016: DAV 5100 Structured Data Management,Fall-2016: Independent Study,Fall-2016: Natural Language Processing,Fall-2016: DAV 5300 Computational Math and Statistics,Spring-2017: DAV 5000 Business Modeling and Data Analysis,Spring-2017: DAV 6500 Capstone,Spring-2017: DAV 5200 Visual Design and Storytelling,Summer-2017: MAN 5580 Project Management,Summer-2017: Complex Systems: Financial Time Series Analysis,Summer-2017: DAV 5400 Analytics Programming
8370622769,Baker,Michael,Data Analytics and Visualization,3.15,Summer-2023,China,Mandarin,Mathematics,26,4.5,"New York, NY",Entry Level Python Developer,Summer-2022: DAV 5000 Business Modeling and Data Analysis,Summer-2022: Natural Language Processing,Summer-2022: DAV 5200 Visual Design and Storytelling,Fall-2022: DAV 6150 Data Science,Fall-2022: Bayesian Methods,Fall-2022: MAN 5580 Project Management,Spring-2023: AI Product Studio,Spring-2023: DAV 6100 Information Architectures,Spring-2023: DAV 5400 Analytics Programming,Summer-2023: DAV 5100 Structured Data Management,Summer-2023: DAV 6500 Capstone,Summer-2023: DAV 5300 Computational Math and Statistics
4008703579,Burke,Virginia,Data Analytics and Visualization,3.74,Fall-2018,India,Hindi,Engineering,30,9.0,"Woodbridge, NJ",Machine Learning Engineer,Fall-2017: DAV 6200 Data Product Design,Fall-2017: DAV 6500 Capstone,Fall-2017: DAV 5200 Visual Design and Storytelling,Spring-2018: Bayesian Methods,Spring-2018: DAV 5100 Structured Data Management,Spring-2018: MAN 5580 Project Management,Summer-2018: Advanced Data Engineering,Summer-2018: Complex Systems: Financial Time Series Analysis,Summer-2018: DAV 5400 Analytics Programming,Fall-2018: Internship,Fall-2018: DAV 5000 Business Modeling and Data Analysis,Fall-2018: DAV 5300 Computational Math and Statistics
1708993180,Shaw,Ashley,Artificial Intelligence,3.38,Spring-2018,China,Mandarin,Computer Science,25,3.0,"New York, NY",Data Scientist I,Spring-2017: Natural Language Processing,Spring-2017: AI Capstone: R&D Experience,Spring-2017: Neural Networks and Deep Learning,Summer-2017: Advanced Data Engineering,Summer-2017: DAV 6200 Data Product Design,Summer-2017: Machine Learning,Fall-2017: Computational Statistics and Probability,Fall-2017: Numerical Methods,Fall-2017: Predictive Models,Spring-2018: Artificial Intelligence,Spring-2018: DAV 6050 Data-Driven Organizations,Spring-2018: Data Acquisition and Management
1962161319,Slagle,Apolonia,Artificial Intelligence,3.37,Spring-2020,USA,English,Other,29,8.5,"Bridgeport, CT",Entry Level Python Developer,Spring-2019: Advanced Data Engineering,Spring-2019: DAV 6100 Information Architectures,Spring-2019: Computational Statistics and Probability,Summer-2019: Predictive Models,Summer-2019: Artificial Intelligence,Summer-2019: Neural Networks and Deep Learning,Fall-2019: Data Visualization,Fall-2019: Numerical Methods,Fall-2019: Data Acquisition and Management,Spring-2020: Complex Systems: Financial Time Series Analysis,Spring-2020: Machine Learning,Spring-2020: AI Capstone: R&D Experience
7102358371,Weems,Trudi,Data Analytics and Visualization,3.63,Spring-2017,USA,English,Mathematics,24,2.0,"New York, NY",Data Architect I,Spring-2016: DAV 5300 Computational Math and Statistics,Spring-2016: DAV 6500 Capstone,Spring-2016: Bayesian Methods,Summer-2016: AI Product Studio,Summer-2016: Data Visualization,Summer-2016: DAV 5100 Structured Data Management,Fall-2016: DAV 5000 Business Modeling and Data Analysis,Fall-2016: Complex Systems: Financial Time Series Analysis,Fall-2016: MAN 5580 Project Management,Spring-2017: DAV 5200 Visual Design and Storytelling,Spring-2017: DAV 5400 Analytics Programming,Spring-2017: DAV 6200 Data Product Design
5984269131,Sutton,Josephine,Artificial Intelligence,3.61,Fall-2022,USA,English,Health Sciences,30,9.5,"Woodbridge, NJ",Entry Level Python Developer,Fall-2021: DAV 6100 Information Architectures,Fall-2021: Internship,Fall-2021: Numerical Methods,Spring-2022: Complex Systems: Financial Time Series Analysis,Spring-2022: DAV 6300 Special Topics,Spring-2022: Machine Learning,Summer-2022: Predictive Models,Summer-2022: Artificial Intelligence,Summer-2022: Computational Statistics and Probability,Fall-2022: AI Capstone: R&D Experience,Fall-2022: Neural Networks and Deep Learning,Fall-2022: Data Acquisition and Management
7973726780,Osborne,Anthony,Data Analytics and Visualization,3.7,Fall-2018,USA,English,Health Sciences,25,4.0,"New York, NY",Entry Business Systems Analyst,Fall-2017: DAV 5000 Business Modeling and Data Analysis,Fall-2017: MAN 5580 Project Management,Fall-2017: DAV 6300 Special Topics,Spring-2018: DAV 5100 Structured Data Management,Spring-2018: Natural Language Processing,Spring-2018: DAV 5300 Computational Math and Statistics,Summer-2018: Special Topics,Summer-2018: DAV 5400 Analytics Programming,Summer-2018: DAV 6500 Capstone,Fall-2018: DAV 6450 Independent Study,Fall-2018: DAV 5200 Visual Design and Storytelling,Fall-2018: DAV 6000 Talent Analytics
5990354023,Tiede,Bob,Data Analytics and Visualization,2.84,Spring-2017,China,Mandarin,Computer Science,23,1.5,"New York, NY",Big Data Architect,Spring-2016: MAN 5580 Project Management,Spring-2016: DAV 5300 Computational Math and Statistics,Spring-2016: DAV 5100 Structured Data Management,Summer-2016: DAV 6200 Data Product Design,Summer-2016: DAV 6050 Data-Driven Organizations,Summer-2016: DAV 5200 Visual Design and Storytelling,Fall-2016: DAV 5000 Business Modeling and Data Analysis,Fall-2016: DAV 6100 Information Architectures,Fall-2016: Internship,Spring-2017: DAV 6500 Capstone,Spring-2017: Special Topics,Spring-2017: DAV 5400 Analytics Programming
1183286608,Weinbauer,Matthew,Artificial Intelligence,3.27,Spring-2023,USA,English,Engineering,24,2.0,"New York, NY",Data Architect I,Spring-2022: Data Acquisition and Management,Spring-2022: AI Product Studio,Spring-2022: Computational Statistics and Probability,Summer-2022: Neural Networks and Deep Learning,Summer-2022: Predictive Models,Summer-2022: Numerical Methods,Fall-2022: DAV 6050 Data-Driven Organizations,Fall-2022: Machine Learning,Fall-2022: DAV 6200 Data Product Design,Spring-2023: DAV 6100 Information Architectures,Spring-2023: AI Capstone: R&D Experience,Spring-2023: Artificial Intelligence
2213781515,Howell,Quentin,Artificial Intelligence,3.71,Summer-2022,China,Wu,Computer Science,23,1.0,"New York, NY",Database Administrator - Entry,Summer-2021: Numerical Methods,Summer-2021: AI Capstone: R&D Experience,Summer-2021: DAV 6100 Information Architectures,Fall-2021: Neural Networks and Deep Learning,Fall-2021: Data Acquisition and Management,Fall-2021: Predictive Models,Spring-2022: Computational Statistics and Probability,Spring-2022: Data Visualization,Spring-2022: AI Product Studio,Summer-2022: Artificial Intelligence,Summer-2022: DAV 6050 Data-Driven Organizations,Summer-2022: Machine Learning
9270986910,Griffin,Robert,Artificial Intelligence,3.39,Spring-2023,Pakistan,Punjabi,Computer Science,23,2.5,"New York, NY",Database Administrator - Entry,Spring-2022: Special Topics,Spring-2022: Machine Learning,Spring-2022: AI Capstone: R&D Experience,Summer-2022: Predictive Models,Summer-2022: Data Acquisition and Management,Summer-2022: Computational Statistics and Probability,Fall-2022: Neural Networks and Deep Learning,Fall-2022: Complex Systems: Financial Time Series Analysis,Fall-2022: Artificial Intelligence,Spring-2023: DAV 6400 Internship,Spring-2023: Numerical Methods,Spring-2023: Internship
4835965050,Crowell,Charles,Data Analytics and Visualization,2.43,Summer-2017,USA,English,Mathematics,32,11.5,"New York, NY",Business Intelligence (BI) Developer,Summer-2016: Internship,Summer-2016: DAV 6500 Capstone,Summer-2016: DAV 6300 Special Topics,Fall-2016: DAV 5200 Visual Design and Storytelling,Fall-2016: DAV 5400 Analytics Programming,Fall-2016: DAV 6150 Data Science,Spring-2017: DAV 6400 Internship,Spring-2017: MAN 5580 Project Management,Spring-2017: DAV 5000 Business Modeling and Data Analysis,Summer-2017: DAV 5300 Computational Math and Statistics,Summer-2017: DAV 5100 Structured Data Management,Summer-2017: Advanced Data Engineering
4001194966,Werner,Ramiro,Data Analytics and Visualization,2.94,Summer-2018,China,Mandarin,Engineering,25,3.5,"New York, NY",Entry Data Analyst,Summer-2017: DAV 5100 Structured Data Management,Summer-2017: DAV 6100 Information Architectures,Summer-2017: DAV 5400 Analytics Programming,Fall-2017: Internship,Fall-2017: Data Visualization,Fall-2017: MAN 5580 Project Management,Spring-2018: DAV 6500 Capstone,Spring-2018: DAV 5200 Visual Design and Storytelling,Spring-2018: DAV 5000 Business Modeling and Data Analysis,Summer-2018: Bayesian Methods,Summer-2018: DAV 6150 Data Science,Summer-2018: DAV 5300 Computational Math and Statistics
9067015715,Rzeczycki,Michael,Data Analytics and Visualization,3.7,Spring-2020,India,Hindi,Computer Science,25,3.0,"Bridgeport, CT",Data Scientist I,Spring-2019: DAV 6450 Independent Study,Spring-2019: DAV 5200 Visual Design and Storytelling,Spring-2019: DAV 5100 Structured Data Management,Summer-2019: DAV 5400 Analytics Programming,Summer-2019: DAV 6050 Data-Driven Organizations,Summer-2019: DAV 6000 Talent Analytics,Fall-2019: DAV 5300 Computational Math and Statistics,Fall-2019: DAV 5000 Business Modeling and Data Analysis,Fall-2019: AI Product Studio,Spring-2020: MAN 5580 Project Management,Spring-2020: Bayesian Methods,Spring-2020: DAV 6500 Capstone
