Course Name,Student ID,First Name,Last Name,Katz School Major,GPA,Graduation Semester,Country of Origin,Languages,Undergraduate Major,Age at Graduation,Years of Experience,Location,Job Decription,Course #
Fall-2016: Complex Systems: Financial Time Series Analysis,4172304209,Benincase,Edward,Artificial Intelligence,3.16,Spring-2018,China,Mandarin,Mathematics,25,3.5,"New York, NY",Database Administrator - Entry,Course3
Fall-2016: Complex Systems: Financial Time Series Analysis,4368660602,Robbins,Brian,Data Analytics and Visualization,3.15,Spring-2018,China,Mandarin,Mathematics,24,2.5,"Woodbridge, NJ",Data Architect I,Course2
Fall-2016: Complex Systems: Financial Time Series Analysis,4784813239,Calahan,Martin,Artificial Intelligence,2.95,Spring-2017,USA,English,Computer Science,27,5.5,"New York, NY",Entry Data Analyst,Course7
Fall-2016: Computational Statistics and Probability,1864078434,Hogan,Raymond,Artificial Intelligence,3.5,Spring-2018,China,Cantonese,Computer Science,24,2.5,"New York, NY",Data Scientist I,Course1
Fall-2016: Computational Statistics and Probability,4800891893,Johnson,Angela,Artificial Intelligence,3.51,Spring-2017,China,Mandarin,Mathematics,24,2.5,"New York, NY",Entry Data Analyst,Course9
Fall-2016: DAV 5000 Business Modeling and Data Analysis,1313020897,Jones,Jose,Data Analytics and Visualization,3.88,Spring-2018,India,Malayalam,Other,23,2.5,"New York, NY",Data Architect I,Course3
Fall-2016: DAV 5000 Business Modeling and Data Analysis,4540549979,Wayne,Lillie,Data Analytics and Visualization,3.54,Fall-2017,China,Mandarin,Engineering,26,4.0,"New York, NY",Entry Data Analyst,Course5
Fall-2016: DAV 5000 Business Modeling and Data Analysis,8265025887,Rolen,David,Data Analytics and Visualization,2.65,Fall-2017,Other,F,Computer Science,25,3.0,"New York, NY",Business Intelligence (BI) Developer,Course4
Fall-2016: DAV 5000 Business Modeling and Data Analysis,9706615799,Burley,Kenneth,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Engineering,24,2.0,"New York, NY",Big Data Architect,Course8
Fall-2016: DAV 5100 Structured Data Management,1313020897,Jones,Jose,Data Analytics and Visualization,3.88,Spring-2018,India,Malayalam,Other,23,2.5,"New York, NY",Data Architect I,Course2
Fall-2016: DAV 5100 Structured Data Management,2634724512,Heppler,Tyler,Data Analytics and Visualization,2.97,Spring-2018,China,Mandarin,Engineering,31,9.0,"New York, NY",Database Administrator - Entry,Course1
Fall-2016: DAV 5100 Structured Data Management,4991566949,Berry,Susan,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Computer Science,25,3.0,"New York, NY",Business Intelligence (BI) Developer,Course7
Fall-2016: DAV 5100 Structured Data Management,5784742934,Wheat,Emmanuel,Data Analytics and Visualization,3.4,Fall-2017,China,Cantonese,Computer Science,26,5.0,"New York, NY",UX Design Intern,Course6
Fall-2016: DAV 5100 Structured Data Management,6295538694,Mcgibney,Marilyn,Data Analytics and Visualization,3.58,Spring-2018,China,Mandarin,Health Sciences,24,3.0,"New York, NY",Machine Learning Engineer,Course3
Fall-2016: DAV 5100 Structured Data Management,9016952358,Upton,Glenda,Data Analytics and Visualization,3.74,Spring-2018,China,Mandarin,Mathematics,27,6.0,"Chicago, IL",Entry Data Analyst,Course1
Fall-2016: DAV 5200 Visual Design and Storytelling,3285388144,Hyde,Jacob,Data Analytics and Visualization,3.36,Spring-2017,USA,English,Computer Science,26,4.5,"New York, NY",Data Scientist I,Course9
Fall-2016: DAV 5200 Visual Design and Storytelling,4368660602,Robbins,Brian,Data Analytics and Visualization,3.15,Spring-2018,China,Mandarin,Mathematics,24,2.5,"Woodbridge, NJ",Data Architect I,Course1
Fall-2016: DAV 5200 Visual Design and Storytelling,7007065989,Chiarello,Jacqueline,Data Analytics and Visualization,2.58,Spring-2018,China,Wu,Mathematics,33,11.0,"New York, NY",Machine Learning Engineer,Course2
Fall-2016: DAV 5300 Computational Math and Statistics,3374693293,Farmer,Timothy,Data Analytics and Visualization,3.15,Spring-2018,Other,P,Other,23,2.5,"New York, NY",Big Data Architect,Course2
Fall-2016: DAV 5300 Computational Math and Statistics,4991566949,Berry,Susan,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Computer Science,25,3.0,"New York, NY",Business Intelligence (BI) Developer,Course9
Fall-2016: DAV 5400 Analytics Programming,1647493071,Cousins,Wayne,Data Analytics and Visualization,3.71,Fall-2017,China,Mandarin,Mathematics,23,2.5,"New York, NY",Big Data Architect,Course4
Fall-2016: DAV 5400 Analytics Programming,3285388144,Hyde,Jacob,Data Analytics and Visualization,3.36,Spring-2017,USA,English,Computer Science,26,4.5,"New York, NY",Data Scientist I,Course7
Fall-2016: DAV 5400 Analytics Programming,4991566949,Berry,Susan,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Computer Science,25,3.0,"New York, NY",Business Intelligence (BI) Developer,Course8
Fall-2016: DAV 5400 Analytics Programming,9706615799,Burley,Kenneth,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Engineering,24,2.0,"New York, NY",Big Data Architect,Course9
Fall-2016: DAV 5400 Analytics Programming,9960941997,Milburn,John,Data Analytics and Visualization,3.11,Spring-2018,USA,Spanish,Mathematics,23,1.0,"New York, NY",Machine Learning Engineer,Course3
Fall-2016: DAV 6000 Talent Analytics,1168340921,Young,Jesse,Data Analytics and Visualization,2.92,Fall-2017,China,Mandarin,Health Sciences,23,1.5,"New York, NY",Entry Level Python Developer,Course5
Fall-2016: DAV 6000 Talent Analytics,1647493071,Cousins,Wayne,Data Analytics and Visualization,3.71,Fall-2017,China,Mandarin,Mathematics,23,2.5,"New York, NY",Big Data Architect,Course5
Fall-2016: DAV 6000 Talent Analytics,1654916649,Tiry,Tressie,Data Analytics and Visualization,3.27,Fall-2017,China,Cantonese,Engineering,24,2.5,"Woodbridge, NJ",Entry Business Systems Analyst,Course5
Fall-2016: DAV 6000 Talent Analytics,3574175120,Mabon,William,Artificial Intelligence,3.39,Spring-2017,USA,Spanish,Computer Science,27,5.5,"New York, NY",Machine Learning Engineer,Course8
Fall-2016: DAV 6000 Talent Analytics,3986578591,Jackson,Linda,Data Analytics and Visualization,3.42,Spring-2017,Pakistan,Sindhi,Engineering,27,6.0,"New York, NY",Entry Business Systems Analyst,Course8
Fall-2016: DAV 6000 Talent Analytics,7593367099,Watson,Sylvia,Artificial Intelligence,3.7,Fall-2017,USA,Spanish,Other,33,11.0,"Woodbridge, NJ",Machine Learning Engineer,Course4
Fall-2016: DAV 6000 Talent Analytics,8265025887,Rolen,David,Data Analytics and Visualization,2.65,Fall-2017,Other,F,Computer Science,25,3.0,"New York, NY",Business Intelligence (BI) Developer,Course6
Fall-2016: DAV 6000 Talent Analytics,9016952358,Upton,Glenda,Data Analytics and Visualization,3.74,Spring-2018,China,Mandarin,Mathematics,27,6.0,"Chicago, IL",Entry Data Analyst,Course2
Fall-2016: DAV 6100 Information Architectures,5588524536,Garcia,Debra,Artificial Intelligence,3.72,Fall-2017,China,Mandarin,Computer Science,32,11.0,"New York, NY",Entry Business Systems Analyst,Course5
Fall-2016: DAV 6100 Information Architectures,6295538694,Mcgibney,Marilyn,Data Analytics and Visualization,3.58,Spring-2018,China,Mandarin,Health Sciences,24,3.0,"New York, NY",Machine Learning Engineer,Course2
Fall-2016: DAV 6150 Data Science,1422142335,Layland,Karen,Data Analytics and Visualization,3.42,Spring-2017,China,Mandarin,Engineering,25,3.5,"New York, NY",Entry Data Analyst,Course7
Fall-2016: DAV 6150 Data Science,7650358264,Velazquez,Maira,Data Analytics and Visualization,3.84,Fall-2017,USA,English,Computer Science,28,6.0,"Chicago, IL",Big Data Architect,Course4
Fall-2016: DAV 6150 Data Science,8283215692,Collins,Tom,Artificial Intelligence,3.69,Fall-2017,India,Hindi,Engineering,23,2.0,"New York, NY",Database Administrator - Entry,Course4
Fall-2016: DAV 6200 Data Product Design,3986578591,Jackson,Linda,Data Analytics and Visualization,3.42,Spring-2017,Pakistan,Sindhi,Engineering,27,6.0,"New York, NY",Entry Business Systems Analyst,Course7
Fall-2016: DAV 6300 Special Topics,2634724512,Heppler,Tyler,Data Analytics and Visualization,2.97,Spring-2018,China,Mandarin,Engineering,31,9.0,"New York, NY",Database Administrator - Entry,Course3
Fall-2016: DAV 6300 Special Topics,7007065989,Chiarello,Jacqueline,Data Analytics and Visualization,2.58,Spring-2018,China,Wu,Mathematics,33,11.0,"New York, NY",Machine Learning Engineer,Course1
Fall-2016: DAV 6300 Special Topics,8283215692,Collins,Tom,Artificial Intelligence,3.69,Fall-2017,India,Hindi,Engineering,23,2.0,"New York, NY",Database Administrator - Entry,Course6
Fall-2016: DAV 6400 Internship,3574175120,Mabon,William,Artificial Intelligence,3.39,Spring-2017,USA,Spanish,Computer Science,27,5.5,"New York, NY",Machine Learning Engineer,Course9
Fall-2016: DAV 6400 Internship,7650358264,Velazquez,Maira,Data Analytics and Visualization,3.84,Fall-2017,USA,English,Computer Science,28,6.0,"Chicago, IL",Big Data Architect,Course5
Fall-2016: DAV 6400 Internship,9706615799,Burley,Kenneth,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Engineering,24,2.0,"New York, NY",Big Data Architect,Course7
Fall-2016: DAV 6400 Internship,9960941997,Milburn,John,Data Analytics and Visualization,3.11,Spring-2018,USA,Spanish,Mathematics,23,1.0,"New York, NY",Machine Learning Engineer,Course1
Fall-2016: DAV 6450 Independent Study,5784742934,Wheat,Emmanuel,Data Analytics and Visualization,3.4,Fall-2017,China,Cantonese,Computer Science,26,5.0,"New York, NY",UX Design Intern,Course5
Fall-2016: DAV 6450 Independent Study,8283215692,Collins,Tom,Artificial Intelligence,3.69,Fall-2017,India,Hindi,Engineering,23,2.0,"New York, NY",Database Administrator - Entry,Course5
Fall-2016: DAV 6500 Capstone,1422142335,Layland,Karen,Data Analytics and Visualization,3.42,Spring-2017,China,Mandarin,Engineering,25,3.5,"New York, NY",Entry Data Analyst,Course8
Fall-2016: DAV 6500 Capstone,2634724512,Heppler,Tyler,Data Analytics and Visualization,2.97,Spring-2018,China,Mandarin,Engineering,31,9.0,"New York, NY",Database Administrator - Entry,Course2
Fall-2016: DAV 6500 Capstone,3986578591,Jackson,Linda,Data Analytics and Visualization,3.42,Spring-2017,Pakistan,Sindhi,Engineering,27,6.0,"New York, NY",Entry Business Systems Analyst,Course9
Fall-2016: DAV 6500 Capstone,5784742934,Wheat,Emmanuel,Data Analytics and Visualization,3.4,Fall-2017,China,Cantonese,Computer Science,26,5.0,"New York, NY",UX Design Intern,Course4
Fall-2016: DAV 6500 Capstone,7007065989,Chiarello,Jacqueline,Data Analytics and Visualization,2.58,Spring-2018,China,Wu,Mathematics,33,11.0,"New York, NY",Machine Learning Engineer,Course3
Fall-2016: DAV 6500 Capstone,8479614053,Pockrus,Clifford,Data Analytics and Visualization,4.0,Spring-2017,China,Mandarin,Other,29,8.0,"New York, NY",Entry Business Systems Analyst,Course7
Fall-2016: Data Visualization,1864078434,Hogan,Raymond,Artificial Intelligence,3.5,Spring-2018,China,Cantonese,Computer Science,24,2.5,"New York, NY",Data Scientist I,Course2
Fall-2016: Data Visualization,3285388144,Hyde,Jacob,Data Analytics and Visualization,3.36,Spring-2017,USA,English,Computer Science,26,4.5,"New York, NY",Data Scientist I,Course8
Fall-2016: Data Visualization,8479614053,Pockrus,Clifford,Data Analytics and Visualization,4.0,Spring-2017,China,Mandarin,Other,29,8.0,"New York, NY",Entry Business Systems Analyst,Course9
Fall-2016: Internship,7650358264,Velazquez,Maira,Data Analytics and Visualization,3.84,Fall-2017,USA,English,Computer Science,28,6.0,"Chicago, IL",Big Data Architect,Course6
Fall-2016: MAN 5580 Project Management,1168340921,Young,Jesse,Data Analytics and Visualization,2.92,Fall-2017,China,Mandarin,Health Sciences,23,1.5,"New York, NY",Entry Level Python Developer,Course4
Fall-2016: MAN 5580 Project Management,1422142335,Layland,Karen,Data Analytics and Visualization,3.42,Spring-2017,China,Mandarin,Engineering,25,3.5,"New York, NY",Entry Data Analyst,Course9
Fall-2016: MAN 5580 Project Management,1654916649,Tiry,Tressie,Data Analytics and Visualization,3.27,Fall-2017,China,Cantonese,Engineering,24,2.5,"Woodbridge, NJ",Entry Business Systems Analyst,Course4
Fall-2016: MAN 5580 Project Management,4368660602,Robbins,Brian,Data Analytics and Visualization,3.15,Spring-2018,China,Mandarin,Mathematics,24,2.5,"Woodbridge, NJ",Data Architect I,Course3
Fall-2016: MAN 5580 Project Management,8265025887,Rolen,David,Data Analytics and Visualization,2.65,Fall-2017,Other,F,Computer Science,25,3.0,"New York, NY",Business Intelligence (BI) Developer,Course5
Fall-2016: MAN 5580 Project Management,9960941997,Milburn,John,Data Analytics and Visualization,3.11,Spring-2018,USA,Spanish,Mathematics,23,1.0,"New York, NY",Machine Learning Engineer,Course2
Fall-2016: Machine Learning,4172304209,Benincase,Edward,Artificial Intelligence,3.16,Spring-2018,China,Mandarin,Mathematics,25,3.5,"New York, NY",Database Administrator - Entry,Course1
Fall-2016: Natural Language Processing,1168340921,Young,Jesse,Data Analytics and Visualization,2.92,Fall-2017,China,Mandarin,Health Sciences,23,1.5,"New York, NY",Entry Level Python Developer,Course6
Fall-2016: Natural Language Processing,1654916649,Tiry,Tressie,Data Analytics and Visualization,3.27,Fall-2017,China,Cantonese,Engineering,24,2.5,"Woodbridge, NJ",Entry Business Systems Analyst,Course6
Fall-2016: Natural Language Processing,8479614053,Pockrus,Clifford,Data Analytics and Visualization,4.0,Spring-2017,China,Mandarin,Other,29,8.0,"New York, NY",Entry Business Systems Analyst,Course8
Fall-2016: Natural Language Processing,9016952358,Upton,Glenda,Data Analytics and Visualization,3.74,Spring-2018,China,Mandarin,Mathematics,27,6.0,"Chicago, IL",Entry Data Analyst,Course3
Fall-2016: Neural Networks and Deep Learning,3574175120,Mabon,William,Artificial Intelligence,3.39,Spring-2017,USA,Spanish,Computer Science,27,5.5,"New York, NY",Machine Learning Engineer,Course7
Fall-2016: Neural Networks and Deep Learning,4172304209,Benincase,Edward,Artificial Intelligence,3.16,Spring-2018,China,Mandarin,Mathematics,25,3.5,"New York, NY",Database Administrator - Entry,Course2
Fall-2016: Neural Networks and Deep Learning,4800891893,Johnson,Angela,Artificial Intelligence,3.51,Spring-2017,China,Mandarin,Mathematics,24,2.5,"New York, NY",Entry Data Analyst,Course7
Fall-2016: Numerical Methods,5588524536,Garcia,Debra,Artificial Intelligence,3.72,Fall-2017,China,Mandarin,Computer Science,32,11.0,"New York, NY",Entry Business Systems Analyst,Course4
Fall-2016: Predictive Models,7593367099,Watson,Sylvia,Artificial Intelligence,3.7,Fall-2017,USA,Spanish,Other,33,11.0,"Woodbridge, NJ",Machine Learning Engineer,Course6
Fall-2016: Predictive Models,9290159667,Potter,Eugene,Artificial Intelligence,3.63,Spring-2017,Pakistan,Sindhi,Mathematics,27,6.0,"New York, NY",Data Architect I,Course8
Fall-2016: Special Topics,4540549979,Wayne,Lillie,Data Analytics and Visualization,3.54,Fall-2017,China,Mandarin,Engineering,26,4.0,"New York, NY",Entry Data Analyst,Course4
Fall-2016: Special Topics,4784813239,Calahan,Martin,Artificial Intelligence,2.95,Spring-2017,USA,English,Computer Science,27,5.5,"New York, NY",Entry Data Analyst,Course8
Fall-2017: AI Capstone: R&D Experience,4020243550,Hyatt,Livia,Artificial Intelligence,3.84,Fall-2018,India,Hindi,Health Sciences,24,3.5,"New York, NY",Entry Business Systems Analyst,Course6
Fall-2017: AI Capstone: R&D Experience,4325315064,Romero,Fabiola,Artificial Intelligence,3.69,Spring-2019,USA,English,Computer Science,28,7.0,"Woodbridge, NJ",Business Intelligence (BI) Developer,Course3
Fall-2017: AI Capstone: R&D Experience,6981612896,Douglas,Ok,Artificial Intelligence,3.62,Fall-2018,USA,English,Engineering,23,2.5,"New York, NY",Entry Level Python Developer,Course6
Fall-2017: AI Product Studio,1168340921,Young,Jesse,Data Analytics and Visualization,2.92,Fall-2017,China,Mandarin,Health Sciences,23,1.5,"New York, NY",Entry Level Python Developer,Course11
Fall-2017: AI Product Studio,1654916649,Tiry,Tressie,Data Analytics and Visualization,3.27,Fall-2017,China,Cantonese,Engineering,24,2.5,"Woodbridge, NJ",Entry Business Systems Analyst,Course12
Fall-2017: AI Product Studio,4172304209,Benincase,Edward,Artificial Intelligence,3.16,Spring-2018,China,Mandarin,Mathematics,25,3.5,"New York, NY",Database Administrator - Entry,Course8
Fall-2017: AI Product Studio,7007065989,Chiarello,Jacqueline,Data Analytics and Visualization,2.58,Spring-2018,China,Wu,Mathematics,33,11.0,"New York, NY",Machine Learning Engineer,Course8
Fall-2017: AI Product Studio,8112831315,Hatter,Liz,Data Analytics and Visualization,2.95,Spring-2019,China,Mandarin,Computer Science,25,4.5,"Los Angeles, CA",Big Data Architect,Course1
Fall-2017: Advanced Data Engineering,4325315064,Romero,Fabiola,Artificial Intelligence,3.69,Spring-2019,USA,English,Computer Science,28,7.0,"Woodbridge, NJ",Business Intelligence (BI) Developer,Course1
Fall-2017: Advanced Data Engineering,6699991667,Grant,Kristopher,Artificial Intelligence,3.48,Fall-2018,USA,English,Mathematics,27,6.0,"New York, NY",Entry Business Systems Analyst,Course6
Fall-2017: Advanced Data Engineering,9016952358,Upton,Glenda,Data Analytics and Visualization,3.74,Spring-2018,China,Mandarin,Mathematics,27,6.0,"Chicago, IL",Entry Data Analyst,Course7
Fall-2017: Artificial Intelligence,1864078434,Hogan,Raymond,Artificial Intelligence,3.5,Spring-2018,China,Cantonese,Computer Science,24,2.5,"New York, NY",Data Scientist I,Course7
Fall-2017: Artificial Intelligence,4020243550,Hyatt,Livia,Artificial Intelligence,3.84,Fall-2018,India,Hindi,Health Sciences,24,3.5,"New York, NY",Entry Business Systems Analyst,Course4
Fall-2017: Artificial Intelligence,6981612896,Douglas,Ok,Artificial Intelligence,3.62,Fall-2018,USA,English,Engineering,23,2.5,"New York, NY",Entry Level Python Developer,Course5
Fall-2017: Artificial Intelligence,7593367099,Watson,Sylvia,Artificial Intelligence,3.7,Fall-2017,USA,Spanish,Other,33,11.0,"Woodbridge, NJ",Machine Learning Engineer,Course11
Fall-2017: Artificial Intelligence,8283215692,Collins,Tom,Artificial Intelligence,3.69,Fall-2017,India,Hindi,Engineering,23,2.0,"New York, NY",Database Administrator - Entry,Course10
Fall-2017: Artificial Intelligence,9247834877,King,Vanessa,Artificial Intelligence,3.51,Fall-2018,Other,P,Mathematics,25,4.0,"New York, NY",Machine Learning Engineer,Course6
Fall-2017: Bayesian Methods,1394941761,Gray,Fabian,Data Analytics and Visualization,3.09,Spring-2019,USA,Spanish,Health Sciences,24,3.5,"New York, NY",Business Intelligence (BI) Developer,Course1
Fall-2017: Bayesian Methods,3367596729,Thornton,Corey,Artificial Intelligence,3.73,Fall-2018,India,Hindi,Computer Science,25,3.0,"New York, NY",UX Design Intern,Course5
Fall-2017: Bayesian Methods,3374693293,Farmer,Timothy,Data Analytics and Visualization,3.15,Spring-2018,Other,P,Other,23,2.5,"New York, NY",Big Data Architect,Course9
Fall-2017: Complex Systems: Financial Time Series Analysis,1647493071,Cousins,Wayne,Data Analytics and Visualization,3.71,Fall-2017,China,Mandarin,Mathematics,23,2.5,"New York, NY",Big Data Architect,Course11
Fall-2017: Complex Systems: Financial Time Series Analysis,5588524536,Garcia,Debra,Artificial Intelligence,3.72,Fall-2017,China,Mandarin,Computer Science,32,11.0,"New York, NY",Entry Business Systems Analyst,Course10
